"domain","subcategory","answer","pct"
"ALL","ALL","US military national guard soldiers are trained to protect our c",59
"ALL","ALL","US military national guard soldiers are capable of effectively p",41
"age","18-34","US military national guard soldiers are capable of effectively p",47
"age","18-34","US military national guard soldiers are trained to protect our c",53
"age","45-54","US military national guard soldiers are capable of effectively p",40
"age","45-54","US military national guard soldiers are trained to protect our c",60
"age","55+","US military national guard soldiers are trained to protect our c",100
"agency","DOC, Supervision","US military national guard soldiers are capable of effectively p",44
"agency","DOC, Supervision","US military national guard soldiers are trained to protect our c",56
"agency","Other","US military national guard soldiers are trained to protect our c",100
"agency","Sheriff","US military national guard soldiers are capable of effectively p",36
"agency","Sheriff","US military national guard soldiers are trained to protect our c",64
"agency","State","US military national guard soldiers are capable of effectively p",38
"agency","State","US military national guard soldiers are trained to protect our c",62
"gender","Man","US military national guard soldiers are capable of effectively p",45
"gender","Man","US military national guard soldiers are trained to protect our c",55
"gender","Woman","US military national guard soldiers are capable of effectively p",32
"gender","Woman","US military national guard soldiers are trained to protect our c",68
"race","Latino","US military national guard soldiers are capable of effectively p",41
"race","Latino","US military national guard soldiers are trained to protect our c",59
"tenure","0-4 years","US military national guard soldiers are capable of effectively p",38
"tenure","0-4 years","US military national guard soldiers are trained to protect our c",62
"tenure","10 or more years","US military national guard soldiers are capable of effectively p",42
"tenure","10 or more years","US military national guard soldiers are trained to protect our c",58
"tenure","5-9 years","US military national guard soldiers are capable of effectively p",43
"tenure","5-9 years","US military national guard soldiers are trained to protect our c",57
